flights,layovers,total_duration,carbon_emissions,price,type,extensions
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 16:35'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 17:45'}, 'duration': 70, 'airplane': 'Boeing 737', 'airline': 'Malaysia Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MH.png', 'travel_class': 'Economy', 'flight_number': 'MH 620', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 50 kg']}]",,70,"{'this_flight': 51000, 'typical_for_this_route': 45000, 'difference_percent': 13}",135,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 18:10'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 19:20'}, 'duration': 70, 'airplane': 'Boeing 737', 'airline': 'Malaysia Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MH.png', 'travel_class': 'Economy', 'flight_number': 'MH 608', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 50 kg']}]",,70,"{'this_flight': 51000, 'typical_for_this_route': 45000, 'difference_percent': 13}",135,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 19:15'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 20:25'}, 'duration': 70, 'airplane': 'Boeing 737', 'airline': 'Malaysia Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MH.png', 'travel_class': 'Economy', 'flight_number': 'MH 616', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 50 kg']}]",,70,"{'this_flight': 51000, 'typical_for_this_route': 45000, 'difference_percent': 13}",135,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 21:15'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 22:15'}, 'duration': 60, 'airplane': 'Boeing 737', 'airline': 'Malaysia Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MH.png', 'travel_class': 'Economy', 'flight_number': 'MH 610', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 50 kg'], 'often_delayed_by_over_30_min': True}]",,60,"{'this_flight': 51000, 'typical_for_this_route': 45000, 'difference_percent': 13}",135,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 15:00'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 16:10'}, 'duration': 70, 'airplane': 'Boeing 737', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 116', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat power & USB outlets', 'Stream media to your device', 'Carbon emissions estimate: 56 kg']}]",,70,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",233,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 16:40'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 17:40'}, 'duration': 60, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 122', 'ticket_also_sold_by': ['Malaysia Airlines'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 46 kg']}]",,60,"{'this_flight': 47000, 'typical_for_this_route': 45000, 'difference_percent': 4}",233,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 18:30'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 19:45'}, 'duration': 75, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 126', 'ticket_also_sold_by': ['Malaysia Airlines'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 52 kg']}]",,75,"{'this_flight': 52000, 'typical_for_this_route': 45000, 'difference_percent': 16}",233,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 20:00'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 20:55'}, 'duration': 55, 'airplane': 'Boeing 737', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 128', 'ticket_also_sold_by': ['Malaysia Airlines'], 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat power & USB outlets', 'Stream media to your device', 'Carbon emissions estimate: 56 kg']}]",,55,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",233,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 08:30'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 09:30'}, 'duration': 60, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 106', 'ticket_also_sold_by': ['Malaysia Airlines'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 52 kg']}]",,60,"{'this_flight': 52000, 'typical_for_this_route': 45000, 'difference_percent': 16}",335,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 09:10'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 10:10'}, 'duration': 60, 'airplane': 'Boeing 737', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 108', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat power & USB outlets', 'Stream media to your device', 'Carbon emissions estimate: 56 kg']}]",,60,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",335,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 12:45'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 13:45'}, 'duration': 60, 'airplane': 'Boeing 737', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 114', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'In-seat power & USB outlets', 'Stream media to your device', 'Carbon emissions estimate: 56 kg']}]",,60,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",335,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 07:05'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 08:05'}, 'duration': 60, 'airplane': 'Boeing 737MAX 8 Passenger', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 104', 'legroom': '30 in', 'extensions': ['Average legroom (30 in)', 'Wi-Fi for a fee', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 48 kg']}]",,60,"{'this_flight': 49000, 'typical_for_this_route': 45000, 'difference_percent': 9}",379,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 10:10'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 11:15'}, 'duration': 65, 'airplane': 'Boeing 737', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/OD.png', 'travel_class': 'Economy', 'flight_number': 'OD 802', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 56 kg']}]",,65,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:00'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 18:05'}, 'duration': 65, 'airplane': 'Boeing 737', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/OD.png', 'travel_class': 'Economy', 'flight_number': 'OD 808', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 56 kg']}]",,65,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 21:30'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 22:35'}, 'duration': 65, 'airplane': 'Boeing 737', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/OD.png', 'travel_class': 'Economy', 'flight_number': 'OD 806', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 56 kg']}]",,65,"{'this_flight': 56000, 'typical_for_this_route': 45000, 'difference_percent': 24}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 14:45'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 15:40'}, 'duration': 115, 'airplane': 'Airbus A320', 'airline': 'Indonesia AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QZ.png', 'travel_class': 'Economy', 'flight_number': 'QZ 265', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,115,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",91,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 07:50'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 09:00'}, 'duration': 130, 'airplane': 'Airbus A320', 'airline': 'Jetstar', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/3K.png', 'travel_class': 'Economy', 'flight_number': '3K 201', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 91 kg']}]",,130,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",94,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 10:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 11:05'}, 'duration': 105, 'airplane': 'Airbus A320', 'airline': 'Citilink Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QG.png', 'travel_class': 'Economy', 'flight_number': 'QG 523', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",128,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 11:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 12:20'}, 'duration': 115, 'airplane': 'Airbus A320', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/ID.png', 'travel_class': 'Economy', 'flight_number': 'ID 7154', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 98 kg']}]",,115,"{'this_flight': 99000, 'typical_for_this_route': 92000, 'difference_percent': 8}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 11:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 12:20'}, 'duration': 115, 'airline': 'Thai Lion Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SL.png', 'travel_class': 'Economy', 'flight_number': 'SL 7154'}]",,115,{'typical_for_this_route': 92000},,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 10:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 11:10'}, 'duration': 110, 'airplane': 'Airbus A320', 'airline': 'Indonesia AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QZ.png', 'travel_class': 'Economy', 'flight_number': 'QZ 263', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,110,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",101,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 12:00'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 12:45'}, 'duration': 105, 'airplane': 'Airbus A320', 'airline': 'Indonesia AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QZ.png', 'travel_class': 'Economy', 'flight_number': 'QZ 267', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",101,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 19:40'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 20:30'}, 'duration': 110, 'airplane': 'Airbus A320', 'airline': 'Indonesia AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QZ.png', 'travel_class': 'Economy', 'flight_number': 'QZ 261', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,110,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",101,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 11:45'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 12:25'}, 'duration': 100, 'airline': 'TransNusa', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/8B.png', 'travel_class': 'Economy', 'flight_number': '8B 152'}]",,100,{'typical_for_this_route': 92000},110,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 20:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 21:20'}, 'duration': 110, 'airplane': 'Airbus A320', 'airline': 'Citilink Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/QG.png', 'travel_class': 'Economy', 'flight_number': 'QG 527', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 91 kg']}]",,110,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",128,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 18:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 19:10'}, 'duration': 105, 'airplane': 'Airbus A320', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 278', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 92 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",143,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 10:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 11:05'}, 'duration': 105, 'airplane': 'Airbus A320', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 276', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 92 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",205,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 07:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 08:25'}, 'duration': 120, 'airplane': 'Airbus A330', 'airline': 'Garuda Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GA.png', 'travel_class': 'Economy', 'flight_number': 'GA 823', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 106 kg']}]",,120,"{'this_flight': 106000, 'typical_for_this_route': 92000, 'difference_percent': 15}",213,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 12:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 13:20'}, 'duration': 120, 'airplane': 'Airbus A330-900neo', 'airline': 'Garuda Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GA.png', 'travel_class': 'Economy', 'flight_number': 'GA 829', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'Wi-Fi for a fee', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 93 kg']}]",,120,"{'this_flight': 93000, 'typical_for_this_route': 92000, 'difference_percent': 1}",213,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 15:45'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 16:45'}, 'duration': 120, 'airplane': 'Airbus A330', 'airline': 'Garuda Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GA.png', 'travel_class': 'Economy', 'flight_number': 'GA 833', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 106 kg']}]",,120,"{'this_flight': 106000, 'typical_for_this_route': 92000, 'difference_percent': 15}",213,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 19:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 20:30'}, 'duration': 120, 'airplane': 'Airbus A330-900neo', 'airline': 'Garuda Indonesia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/GA.png', 'travel_class': 'Economy', 'flight_number': 'GA 837', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'Wi-Fi for a fee', 'In-seat USB outlet', 'On-demand video', 'Carbon emissions estimate: 93 kg']}]",,120,"{'this_flight': 93000, 'typical_for_this_route': 92000, 'difference_percent': 1}",213,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 06:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 07:05'}, 'duration': 105, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 950', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 125 kg']}]",,105,"{'this_flight': 126000, 'typical_for_this_route': 92000, 'difference_percent': 37}",360,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 12:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 13:15'}, 'duration': 105, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 958', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",360,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 16:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 17:10'}, 'duration': 105, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 962', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",360,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:20'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 18:05'}, 'duration': 105, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 964', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 125 kg']}]",,105,"{'this_flight': 126000, 'typical_for_this_route': 92000, 'difference_percent': 37}",360,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 21:55'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 22:40'}, 'duration': 105, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 968', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",360,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 09:25'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 10:10'}, 'duration': 105, 'airplane': 'Airbus A350', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 956', 'ticket_also_sold_by': ['Garuda Indonesia'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 91 kg']}]",,105,"{'this_flight': 92000, 'typical_for_this_route': 92000, 'difference_percent': 0}",443,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 14:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 15:25'}, 'duration': 115, 'airplane': 'Boeing 737', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/ID.png', 'travel_class': 'Economy', 'flight_number': 'ID 7156', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 104 kg']}]",,115,"{'this_flight': 105000, 'typical_for_this_route': 92000, 'difference_percent': 14}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 14:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 15:25'}, 'duration': 115, 'airline': 'Thai Lion Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SL.png', 'travel_class': 'Economy', 'flight_number': 'SL 7156'}]",,115,{'typical_for_this_route': 92000},,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 18:20'}, 'duration': 110, 'airplane': 'Boeing 737', 'airline': 'Batik Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/ID.png', 'travel_class': 'Economy', 'flight_number': 'ID 7150', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'Stream media to your device', 'Carbon emissions estimate: 104 kg']}]",,110,"{'this_flight': 105000, 'typical_for_this_route': 92000, 'difference_percent': 14}",,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:30'}, 'arrival_airport': {'name': 'Soekarno–Hatta International Airport', 'id': 'CGK', 'time': '2024-05-01 18:20'}, 'duration': 110, 'airline': 'Thai Lion Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SL.png', 'travel_class': 'Economy', 'flight_number': 'SL 7150'}]",,110,{'typical_for_this_route': 92000},,One way,
