flights,layovers,total_duration,carbon_emissions,price,type,extensions
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 06:15'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 14:30'}, 'duration': 435, 'airplane': 'Boeing 787', 'airline': 'ANA', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/NH.png', 'travel_class': 'Economy', 'flight_number': 'NH 802', 'legroom': '34 in', 'extensions': ['Above average legroom (34 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 469 kg']}]",,435,"{'this_flight': 469000, 'typical_for_this_route': 423000, 'difference_percent': 11}",949,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 09:25'}, 'arrival_airport': {'name': 'Narita International Airport', 'id': 'NRT', 'time': '2024-05-01 17:30'}, 'duration': 425, 'airplane': 'Boeing 777', 'airline': 'Singapore Airlines', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/SQ.png', 'travel_class': 'Economy', 'flight_number': 'SQ 12', 'ticket_also_sold_by': ['ANA'], 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'Wi-Fi for a fee', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 554 kg']}]",,425,"{'this_flight': 554000, 'typical_for_this_route': 423000, 'difference_percent': 31}",1009,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 11:55'}, 'arrival_airport': {'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE', 'time': '2024-05-01 16:50'}, 'duration': 295, 'airplane': 'Boeing 787', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 896', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 231 kg']}, {'departure_airport': {'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE', 'time': '2024-05-01 17:55'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-01 21:35'}, 'duration': 160, 'airplane': 'Boeing 787', 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 896', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Wi-Fi for a fee', 'In-seat power outlet', 'Carbon emissions estimate: 122 kg'], 'often_delayed_by_over_30_min': True}]","[{'duration': 65, 'name': 'Taiwan Taoyuan International Airport', 'id': 'TPE'}]",520,"{'this_flight': 354000, 'typical_for_this_route': 320000, 'difference_percent': 11}",397,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 02:15'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-01 09:55'}, 'duration': 400, 'airplane': 'Airbus A330', 'airline': ""T'Way Air"", 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TW.png', 'travel_class': 'Economy', 'flight_number': 'TW 172', 'legroom': '32 in', 'extensions': ['Above average legroom (32 in)', 'In-seat USB outlet', 'Carbon emissions estimate: 367 kg'], 'overnight': True}]",,400,"{'this_flight': 367000, 'typical_for_this_route': 320000, 'difference_percent': 15}",484,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 10:50'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-01 18:35'}, 'duration': 405, 'airplane': 'Boeing 777', 'airline': 'Korean Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/KE.png', 'travel_class': 'Economy', 'flight_number': 'KE 648', 'legroom': '33 in', 'extensions': ['Above average legroom (33 in)', 'In-seat power & USB outlets', 'On-demand video', 'Carbon emissions estimate: 413 kg']}]",,405,"{'this_flight': 414000, 'typical_for_this_route': 320000, 'difference_percent': 29}",579,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 16:50'}, 'arrival_airport': {'name': 'Clark International Airport', 'id': 'CRK', 'time': '2024-05-01 20:55'}, 'duration': 245, 'airline': 'Cebu Pacific', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/5J.png', 'travel_class': 'Economy', 'flight_number': '5J 538', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 189 kg']}, {'departure_airport': {'name': 'Clark International Airport', 'id': 'CRK', 'time': '2024-05-02 02:30'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-02 08:05'}, 'duration': 275, 'airline': 'Jeju Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/7C.png', 'travel_class': 'Economy', 'flight_number': '7C 4604', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 211 kg'], 'overnight': True}]","[{'duration': 335, 'name': 'Clark International Airport', 'id': 'CRK', 'overnight': True}]",855,"{'this_flight': 401000, 'typical_for_this_route': 320000, 'difference_percent': 25}",263,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 15:05'}, 'arrival_airport': {'name': 'Fuzhou Changle International Airport', 'id': 'FOC', 'time': '2024-05-01 20:10'}, 'duration': 305, 'airplane': 'Boeing 737', 'airline': 'XiamenAir', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MF.png', 'travel_class': 'Economy', 'flight_number': 'MF 866', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Carbon emissions estimate: 269 kg']}, {'departure_airport': {'name': 'Fuzhou Changle International Airport', 'id': 'FOC', 'time': '2024-05-02 12:55'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-02 16:20'}, 'duration': 145, 'airplane': 'Boeing 737', 'airline': 'XiamenAir', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/MF.png', 'travel_class': 'Economy', 'flight_number': 'MF 877', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Carbon emissions estimate: 140 kg'], 'often_delayed_by_over_30_min': True}]","[{'duration': 1005, 'name': 'Fuzhou Changle International Airport', 'id': 'FOC', 'overnight': True}]",1455,"{'this_flight': 410000, 'typical_for_this_route': 320000, 'difference_percent': 28}",273,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 18:50'}, 'arrival_airport': {'name': 'Clark International Airport', 'id': 'CRK', 'time': '2024-05-01 22:25'}, 'duration': 215, 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 386', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 190 kg']}, {'departure_airport': {'name': 'Clark International Airport', 'id': 'CRK', 'time': '2024-05-02 02:30'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-02 08:05'}, 'duration': 275, 'airline': 'Jeju Air', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/7C.png', 'travel_class': 'Economy', 'flight_number': '7C 4604', 'legroom': '29 in', 'extensions': ['Below average legroom (29 in)', 'Carbon emissions estimate: 211 kg'], 'overnight': True}]","[{'duration': 245, 'name': 'Clark International Airport', 'id': 'CRK', 'overnight': True}]",735,"{'this_flight': 402000, 'typical_for_this_route': 320000, 'difference_percent': 26}",288,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 19:10'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 20:30'}, 'duration': 80, 'airplane': 'Airbus A320', 'airline': 'AirAsia', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/AK.png', 'travel_class': 'Economy', 'flight_number': 'AK 716', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 48 kg']}, {'departure_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 22:50'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-02 06:30'}, 'duration': 400, 'airplane': 'Airbus A330', 'airline': 'AirAsia X', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/D7.png', 'travel_class': 'Economy', 'flight_number': 'D7 504', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Carbon emissions estimate: 322 kg'], 'overnight': True}]","[{'duration': 140, 'name': 'Kuala Lumpur International Airport', 'id': 'KUL'}]",620,"{'this_flight': 371000, 'typical_for_this_route': 320000, 'difference_percent': 16}",300,One way,
"[{'departure_airport': {'name': 'Singapore Changi Airport', 'id': 'SIN', 'time': '2024-05-01 17:00'}, 'arrival_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 18:15'}, 'duration': 75, 'airline': 'Scoot', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/TR.png', 'travel_class': 'Economy', 'flight_number': 'TR 468', 'legroom': '28 in', 'extensions': ['Below average legroom (28 in)', 'Carbon emissions estimate: 49 kg']}, {'departure_airport': {'name': 'Kuala Lumpur International Airport', 'id': 'KUL', 'time': '2024-05-01 22:50'}, 'arrival_airport': {'name': 'Incheon International Airport', 'id': 'ICN', 'time': '2024-05-02 06:30'}, 'duration': 400, 'airplane': 'Airbus A330', 'airline': 'AirAsia X', 'airline_logo': 'https://www.gstatic.com/flights/airline_logos/70px/D7.png', 'travel_class': 'Economy', 'flight_number': 'D7 504', 'legroom': '31 in', 'extensions': ['Average legroom (31 in)', 'Carbon emissions estimate: 322 kg'], 'overnight': True}]","[{'duration': 275, 'name': 'Kuala Lumpur International Airport', 'id': 'KUL'}]",750,"{'this_flight': 371000, 'typical_for_this_route': 320000, 'difference_percent': 16}",305,One way,
